case,source_platform,rating_1_5,text,stance,theme_codes,pulled_by,post_date,has_text,unnamed_9,post_date_norm,year,ym,rating_1_5_num
DAA,YandexMaps,5,"Прекрасно можно провести время, посмотреть на новинки дизайна, что-то выбрать",positive,leisure,Mariia,2021-10-09 00:00:00,yes,NA,2021-10-09,2021,2021-10,5
DAA,YandexMaps,5,"Прекрасно можно провести время, посмотреть на новинки дизайна, что-то выбрать",positive,commerce,Mariia,2021-10-09 00:00:00,yes,NA,2021-10-09,2021,2021-10,5
DAA,YandexMaps,5,Очень круто оформлено пространство,positive,design,Mariia,2021-10-09 00:00:00,yes,NA,2021-10-09,2021,2021-10,5
DAA,YandexMaps,5,Очень круто оформлено пространство,positive,atmosphere,Mariia,2021-10-09 00:00:00,yes,NA,2021-10-09,2021,2021-10,5
DAA,YandexMaps,4,Отличное помещение для проведения своеобразных мероприятий.,positive,events,Mariia,2021-09-30 00:00:00,yes,NA,2021-09-30,2021,2021-09,4
DAA,YandexMaps,4,Отличное помещение для проведения своеобразных мероприятий.,positive,venue,Mariia,2021-09-30 00:00:00,yes,NA,2021-09-30,2021,2021-09,4
DAA,YandexMaps,5,Неплохое место для конференций,positive,events,Mariia,2021-09-21 00:00:00,yes,NA,2021-09-21,2021,2021-09,5
DAA,YandexMaps,5,Неплохое место для конференций,positive,conference,Mariia,2021-09-21 00:00:00,yes,NA,2021-09-21,2021,2021-09,5
DAA,YandexMaps,2,"Многие фирмы съехали, а информации об этом на Яндексе нет!!!",negative,data_accuracy,Mariia,2021-09-20 00:00:00,yes,NA,2021-09-20,2021,2021-09,2
DAA,YandexMaps,2,"Многие фирмы съехали, а информации об этом на Яндексе нет!!!",negative,commerce,Mariia,2021-09-20 00:00:00,yes,NA,2021-09-20,2021,2021-09,2
DAA,YandexMaps,3,Проблемы с парковкой внутри... перекрыли шлагбаумом и парковочных мест стало меньше.,negative,parking_issue,Mariia,2021-09-20 00:00:00,yes,NA,2021-09-20,2021,2021-09,3
DAA,YandexMaps,3,Проблемы с парковкой внутри... перекрыли шлагбаумом и парковочных мест стало меньше.,negative,access,Mariia,2021-09-20 00:00:00,yes,NA,2021-09-20,2021,2021-09,3
DAA,YandexMaps,3,Проблемы с парковкой внутри... перекрыли шлагбаумом и парковочных мест стало меньше.,negative,logistics,Mariia,2021-09-20 00:00:00,yes,NA,2021-09-20,2021,2021-09,3
DAA,YandexMaps,5,Лучшее место для воплощения смелых идей!,positive,creative_cluster,Mariia,2021-09-17 00:00:00,yes,NA,2021-09-17,2021,2021-09,5
DAA,YandexMaps,5,Лучшее место для воплощения смелых идей!,positive,atmosphere,Mariia,2021-09-17 00:00:00,yes,NA,2021-09-17,2021,2021-09,5
DAA,YandexMaps,5,Атмосферное место,positive,atmosphere,Mariia,2021-09-13 00:00:00,yes,NA,2021-09-13,2021,2021-09,5
DAA,YandexMaps,5,"Пара кафе, много дизайнерских магазинов, по коридорам как в музее",positive,food,Mariia,2021-09-10 00:00:00,yes,NA,2021-09-10,2021,2021-09,5
DAA,YandexMaps,5,"Пара кафе, много дизайнерских магазинов, по коридорам как в музее",positive,commerce,Mariia,2021-09-10 00:00:00,yes,NA,2021-09-10,2021,2021-09,5
DAA,YandexMaps,5,"Пара кафе, много дизайнерских магазинов, по коридорам как в музее",positive,atmosphere,Mariia,2021-09-10 00:00:00,yes,NA,2021-09-10,2021,2021-09,5
DAA,YandexMaps,5,"Рекомендую посетить... техника для кухни, много интерьеров... парковка внутри недорого",positive,commerce,Mariia,2021-09-08 00:00:00,yes,NA,2021-09-08,2021,2021-09,5
DAA,YandexMaps,5,"Рекомендую посетить... техника для кухни, много интерьеров... парковка внутри недорого",positive,parking_info,Mariia,2021-09-08 00:00:00,yes,NA,2021-09-08,2021,2021-09,5
DAA,YandexMaps,5,Галерея мебели Teak House... Без покупки не уйдёшь.,positive,commerce,Mariia,2021-09-04 00:00:00,yes,NA,2021-09-04,2021,2021-09,5
DAA,YandexMaps,5,Галерея мебели Teak House... Без покупки не уйдёшь.,positive,specialty_store,Mariia,2021-09-04 00:00:00,yes,NA,2021-09-04,2021,2021-09,5
DAA,YandexMaps,5,Очень уютное пространство... Много мастерских и магазинчиков.,positive,public_space,Mariia,2021-09-02 00:00:00,yes,NA,2021-09-02,2021,2021-09,5
DAA,YandexMaps,5,Очень уютное пространство... Много мастерских и магазинчиков.,positive,commerce,Mariia,2021-09-02 00:00:00,yes,NA,2021-09-02,2021,2021-09,5
DAA,YandexMaps,5,Очень уютное пространство... Много мастерских и магазинчиков.,positive,food,Mariia,2021-09-02 00:00:00,yes,NA,2021-09-02,2021,2021-09,5
DAA,YandexMaps,5,"Интересное место, советую",positive,atmosphere,Mariia,2021-08-31 00:00:00,yes,NA,2021-08-31,2021,2021-08,5
DAA,YandexMaps,5,"Интересное место, советую",positive,recommendation,Mariia,2021-08-31 00:00:00,yes,NA,2021-08-31,2021,2021-08,5
DAA,YandexMaps,5,Атмосферное общественное пространство... шоу-румы компаний...,positive,public_space,Mariia,2021-08-25 00:00:00,yes,NA,2021-08-25,2021,2021-08,5
DAA,YandexMaps,5,Атмосферное общественное пространство... шоу-румы компаний...,positive,showrooms,Mariia,2021-08-25 00:00:00,yes,NA,2021-08-25,2021,2021-08,5
DAA,YandexMaps,5,"Арт-пространства, магазинчики, кафешки - все для творческих людей.",positive,public_space,Mariia,2021-08-24 00:00:00,yes,NA,2021-08-24,2021,2021-08,5
DAA,YandexMaps,5,"Арт-пространства, магазинчики, кафешки - все для творческих людей.",positive,commerce,Mariia,2021-08-24 00:00:00,yes,NA,2021-08-24,2021,2021-08,5
DAA,YandexMaps,5,"Арт-пространства, магазинчики, кафешки - все для творческих людей.",positive,food,Mariia,2021-08-24 00:00:00,yes,NA,2021-08-24,2021,2021-08,5
DAA,YandexMaps,5,Не разочаровали.,positive,overall_experience,Mariia,2021-08-24 00:00:00,yes,NA,2021-08-24,2021,2021-08,5
DAA,YandexMaps,5,"Крутое городское пространство. Выставки, шоурумы, еда...",positive,public_space,Mariia,2021-08-22 00:00:00,yes,NA,2021-08-22,2021,2021-08,5
DAA,YandexMaps,5,"Крутое городское пространство. Выставки, шоурумы, еда...",positive,showrooms,Mariia,2021-08-22 00:00:00,yes,NA,2021-08-22,2021,2021-08,5
DAA,YandexMaps,5,"Крутое городское пространство. Выставки, шоурумы, еда...",positive,food,Mariia,2021-08-22 00:00:00,yes,NA,2021-08-22,2021,2021-08,5
DAA,YandexMaps,5,"Крутое городское пространство. Выставки, шоурумы, еда...",positive,events,Mariia,2021-08-22 00:00:00,yes,NA,2021-08-22,2021,2021-08,5
DAA,YandexMaps,2,Парковки практически нет. Внутри мало чего интересного... ценники конские...,negative,parking_issue,Mariia,2021-08-18 00:00:00,yes,NA,2021-08-18,2021,2021-08,2
DAA,YandexMaps,2,Парковки практически нет. Внутри мало чего интересного... ценники конские...,negative,pricing,Mariia,2021-08-18 00:00:00,yes,NA,2021-08-18,2021,2021-08,2
DAA,YandexMaps,2,Парковки практически нет. Внутри мало чего интересного... ценники конские...,negative,commerce,Mariia,2021-08-18 00:00:00,yes,NA,2021-08-18,2021,2021-08,2
DAA,YandexMaps,4,"очень приятное место, только не очень понятно, что там делать",neutral,atmosphere,Mariia,2021-08-15 00:00:00,yes,NA,2021-08-15,2021,2021-08,4
DAA,YandexMaps,4,"очень приятное место, только не очень понятно, что там делать",neutral,wayfinding,Mariia,2021-08-15 00:00:00,yes,NA,2021-08-15,2021,2021-08,4
DAA,YandexMaps,2,Во всем комплексе не работает вентиляция. Дышать нечем.,negative,infrastructure,Mariia,2021-08-12 00:00:00,yes,NA,2021-08-12,2021,2021-08,2
DAA,YandexMaps,2,Во всем комплексе не работает вентиляция. Дышать нечем.,negative,comfort,Mariia,2021-08-12 00:00:00,yes,NA,2021-08-12,2021,2021-08,2
DAA,YandexMaps,5,Понравился магазин японских красок Kansas Paint,positive,commerce,Mariia,2021-08-12 00:00:00,yes,NA,2021-08-12,2021,2021-08,5
DAA,YandexMaps,5,Понравился магазин японских красок Kansas Paint,positive,specialty_store,Mariia,2021-08-12 00:00:00,yes,NA,2021-08-12,2021,2021-08,5
DAA,YandexMaps,5,Являюсь резидентом... отличный офис... но маленькая и неорганизованная парковка.,mixed,offices,Mariia,2021-08-11 00:00:00,yes,NA,2021-08-11,2021,2021-08,5
DAA,YandexMaps,5,Являюсь резидентом... отличный офис... но маленькая и неорганизованная парковка.,mixed,campus_life,Mariia,2021-08-11 00:00:00,yes,NA,2021-08-11,2021,2021-08,5
DAA,YandexMaps,5,Являюсь резидентом... отличный офис... но маленькая и неорганизованная парковка.,mixed,parking_issue,Mariia,2021-08-11 00:00:00,yes,NA,2021-08-11,2021,2021-08,5
DAA,YandexMaps,5,Являюсь резидентом... отличный офис... но маленькая и неорганизованная парковка.,mixed,food,Mariia,2021-08-11 00:00:00,yes,NA,2021-08-11,2021,2021-08,5
